key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
campaign=120204385505670650,12965.33,12965.33,0,2756417,2756417,0,2294153,2294153,0,103578,103578,0,148,148,0,0,0,0,259,259,0,0,0,0,7135,7135,0,5386,5386,0,7135,7135,0,5386,5386,0,3.76,3.76,0,4.7,4.7,0,0.13,0.13,0,87.6,87.6,0,1.2,1.2,0,1596,1596,0
campaign=120204385704650650,9237.92,9237.92,0,836389,836389,0,726371,726371,0,30752,30752,0,79,79,0,0,0,0,117,117,0,0,0,0,1804,1804,0,968,968,0,1804,1804,0,968,968,0,3.68,3.68,0,11.05,11.05,0,0.3,0.3,0,116.94,116.94,0,1.15,1.15,0,2325,2325,0
campaign=120210275987210650,934.37,934.37,0,210399,210399,0,142884,142884,0,6639,6639,0,0,0,0,0,0,0,0,0,0,0,0,0,522,522,0,491,491,0,522,522,0,0,0,0,3.16,3.16,0,4.44,4.44,0,0.14,0.14,0,,,,1.47,1.47,0,188,188,0
campaign=120211070105150650,16007.19,16007.19,0,4436517,4436517,0,3826731,3826731,0,135936,135936,0,222,222,0,0,0,0,375,375,0,0,0,0,8416,8416,0,7105,7105,0,8416,8416,0,7105,7105,0,3.06,3.06,0,3.61,3.61,0,0.12,0.12,0,72.1,72.1,0,1.16,1.16,0,2290,2290,0
campaign=120211096155910650,5051.34,5051.34,0,707696,707696,0,545256,545256,0,40755,40755,0,200,200,0,0,0,0,374,374,0,0,0,0,850,850,0,650,650,0,850,850,0,0,0,0,5.76,5.76,0,7.14,7.14,0,0.12,0.12,0,25.26,25.26,0,1.3,1.3,0,1712,1712,0
campaign=120211138936570650,5745.07,5745.07,0,340232,340232,0,266192,266192,0,28711,28711,0,48,48,0,0,0,0,85,85,0,0,0,0,624,624,0,418,418,0,624,624,0,0,0,0,8.44,8.44,0,16.89,16.89,0,0.2,0.2,0,119.69,119.69,0,1.28,1.28,0,1296,1296,0
campaign=120211460089420650,5254.36,5254.36,0,483758,483758,0,418674,418674,0,18001,18001,0,38,38,0,0,0,0,54,54,0,0,0,0,747,747,0,470,470,0,747,747,0,470,470,0,3.72,3.72,0,10.86,10.86,0,0.29,0.29,0,138.27,138.27,0,1.16,1.16,0,1341,1341,0
campaign=120211675857220650,11907.56,11907.56,0,2345273,2345273,0,2007525,2007525,0,86888,86888,0,176,176,0,0,0,0,289,289,0,0,0,0,6621,6621,0,5395,5395,0,6621,6621,0,5395,5395,0,3.7,3.7,0,5.08,5.08,0,0.14,0.14,0,67.66,67.66,0,1.17,1.17,0,2475,2475,0
campaign=120212347891840650,9342.47,9342.47,0,703169,703169,0,583160,583160,0,28842,28842,0,75,75,0,0,0,0,127,127,0,0,0,0,1756,1756,0,970,970,0,1756,1756,0,970,970,0,4.1,4.1,0,13.29,13.29,0,0.32,0.32,0,124.57,124.57,0,1.21,1.21,0,1873,1873,0
campaign=120214788596890650,2280.34,2280.34,0,170428,170428,0,126728,126728,0,4514,4514,0,16,16,0,0,0,0,27,27,0,0,0,0,192,192,0,145,145,0,192,192,0,0,0,0,2.65,2.65,0,13.38,13.38,0,0.51,0.51,0,142.52,142.52,0,1.34,1.34,0,292,292,0
