key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
campaign=120204385505670650,883.97,883.97,0,182247,182247,0,151451,151451,0,7611,7611,0,21,21,0,0,0,0,42,42,0,0,0,0,556,556,0,434,434,0,556,556,0,434,434,0,4.18,4.18,0,4.85,4.85,0,0.12,0.12,0,42.09,42.09,0,1.2,1.2,0,350,350,0
campaign=120204385704650650,581.09,581.09,0,49696,49696,0,42570,42570,0,2712,2712,0,14,14,0,0,0,0,26,26,0,0,0,0,131,131,0,55,55,0,131,131,0,55,55,0,5.46,5.46,0,11.69,11.69,0,0.21,0.21,0,41.51,41.51,0,1.17,1.17,0,332,332,0
campaign=120211070105150650,709.59,709.59,0,189194,189194,0,147854,147854,0,6832,6832,0,16,16,0,0,0,0,30,30,0,0,0,0,334,334,0,240,240,0,334,334,0,240,240,0,3.61,3.61,0,3.75,3.75,0,0.1,0.1,0,44.35,44.35,0,1.28,1.28,0,111,111,0
campaign=120211096155910650,1148.51,1148.51,0,461284,461284,0,400335,400335,0,9248,9248,0,25,25,0,0,0,0,44,44,0,0,0,0,500,500,0,449,449,0,500,500,0,0,0,0,2,2,0,2.49,2.49,0,0.12,0.12,0,45.94,45.94,0,1.15,1.15,0,306,306,0
campaign=120211138936570650,1239.34,1239.34,0,688235,688235,0,591205,591205,0,7678,7678,0,37,37,0,0,0,0,47,47,0,0,0,0,239,239,0,166,166,0,239,239,0,0,0,0,1.12,1.12,0,1.8,1.8,0,0.16,0.16,0,33.5,33.5,0,1.16,1.16,0,403,403,0
campaign=120211675857220650,879.34,879.34,0,139881,139881,0,114091,114091,0,5734,5734,0,22,22,0,0,0,0,43,43,0,0,0,0,496,496,0,348,348,0,496,496,0,348,348,0,4.1,4.1,0,6.29,6.29,0,0.15,0.15,0,39.97,39.97,0,1.23,1.23,0,518,518,0
campaign=120212347891840650,769.53,769.53,0,67954,67954,0,57725,57725,0,3310,3310,0,5,5,0,0,0,0,9,9,0,0,0,0,132,132,0,74,74,0,132,132,0,74,74,0,4.87,4.87,0,11.32,11.32,0,0.23,0.23,0,153.91,153.91,0,1.18,1.18,0,186,186,0
campaign=120224588989660650,536.98,536.98,0,42226,42226,0,34588,34588,0,1620,1620,0,2,2,0,0,0,0,4,4,0,0,0,0,74,74,0,41,41,0,74,74,0,41,41,0,3.84,3.84,0,12.72,12.72,0,0.33,0.33,0,268.49,268.49,0,1.22,1.22,0,113,113,0
campaign=120224831911870650,165.28,165.28,0,13820,13820,0,11704,11704,0,580,580,0,14,14,0,0,0,0,30,30,0,0,0,0,72,72,0,48,48,0,72,72,0,48,48,0,4.2,4.2,0,11.96,11.96,0,0.28,0.28,0,11.81,11.81,0,1.18,1.18,0,57,57,0
campaign=120226115949280650,1513.2,1513.2,0,107424,107424,0,86484,86484,0,5253,5253,0,63,63,0,0,0,0,78,78,0,0,0,0,371,371,0,190,190,0,371,371,0,190,190,0,4.89,4.89,0,14.09,14.09,0,0.29,0.29,0,24.02,24.02,0,1.24,1.24,0,437,437,0
