key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
month=2025-01,15536.2,12408.03,-3128.17,2423855,1770369,-653486,2009362,1467967,-541395,88230,66756,-21474,143,111,-32,0,0,0,143,111,-32,0,0,0,6218,4495,-1723,4759,3424,-1335,6218,4495,-1723,4437,3173,-1264,3.64,3.77,0.13,6.41,7.01,0.6,0.18,0.19,0.01,108.64,111.78,3.14,1.21,1.21,0,3071,2494,-577
month=2025-02,11599.95,9382.05,-2217.9,1977506,1532370,-445136,1608028,1255361,-352667,78136,64026,-14110,160,121,-39,0,0,0,182,145,-37,0,0,0,4704,3592,-1112,3494,2673,-821,4704,3592,-1112,3317,2516,-801,3.95,4.18,0.23,5.87,6.12,0.25,0.15,0.15,0,72.5,77.54,5.04,1.23,1.22,-0.01,2207,1879,-328
month=2025-03,11854.75,12214.73,359.98,1928223,1956592,28369,1643469,1666002,22533,72130,75417,3287,160,162,2,3,3,0,279,283,4,3,3,0,4280,4305,25,3358,3372,14,4278,4303,25,3193,3193,0,3.74,3.85,0.11,6.15,6.24,0.09,0.16,0.16,0,74.09,75.4,1.31,1.17,1.17,0,2712,2823,111
month=2025-04,21729.4,12928.84,-8800.56,3577256,2067262,-1509994,3082143,1780375,-1301768,141031,81681,-59350,327,198,-129,76,49,-27,567,349,-218,76,49,-27,8924,5121,-3803,7131,4077,-3054,8991,5163,-3828,6719,3803,-2916,3.94,3.95,0.01,6.07,6.25,0.18,0.15,0.16,0.01,66.45,65.3,-1.15,1.16,1.16,0,4118,2461,-1657
month=2025-05,23920.58,18253.75,-5666.83,3369664,2673715,-695949,2888891,2292990,-595901,112563,89313,-23250,310,239,-71,32,17,-15,578,447,-131,32,17,-15,7109,5660,-1449,5512,4419,-1093,7110,5652,-1458,5256,4199,-1057,3.34,3.34,0,7.1,6.83,-0.27,0.21,0.2,-0.01,77.16,76.38,-0.78,1.17,1.17,0,4622,3575,-1047
month=2025-06,15019.65,21351.49,6331.84,1433178,3185544,1752366,1204675,2719440,1514765,51251,110758,59507,119,202,83,65,50,-15,237,416,179,65,50,-15,2737,6301,3564,1892,4737,2845,2785,6338,3553,1687,4538,2851,3.58,3.48,-0.1,10.48,6.7,-3.78,0.29,0.19,-0.1,126.22,105.7,-20.52,1.19,1.17,-0.02,2442,3319,877
month=2025-07,8433.3,10113.08,1679.78,1246525,1572807,326282,1039395,1313987,274592,51753,64534,12781,111,129,18,64,64,0,225,260,35,64,64,0,3026,3777,751,1957,2513,556,3073,3824,751,1872,2393,521,4.15,4.1,-0.05,6.77,6.43,-0.34,0.16,0.16,0,75.98,78.4,2.42,1.2,1.2,0,1832,2142,310
month=2025-08,8000.4,8410.05,409.65,1000150,1025252,25102,824909,843871,18962,43537,45777,2240,157,160,3,81,81,0,310,316,6,81,81,0,2630,2674,44,1593,1615,22,2681,2725,44,1521,1521,0,4.35,4.46,0.11,8,8.2,0.2,0.18,0.18,0,50.96,52.56,1.6,1.21,1.21,0,2332,2434,102
month=2025-09,6267.22,7974.32,1707.1,689645,979832,290187,571197,808029,236832,25712,37282,11570,158,200,42,83,83,0,299,384,85,83,83,0,1450,2208,758,892,1393,501,1524,2282,758,809,1273,464,3.73,3.8,0.07,9.09,8.14,-0.95,0.24,0.21,-0.03,39.67,39.87,0.2,1.21,1.21,0,1532,1932,400
month=2025-10,5192.36,7705.71,2513.35,362937,803179,440242,297200,649065,351865,15967,33995,18028,48,126,78,61,61,0,96,254,158,61,61,0,608,1910,1302,305,1133,828,656,1958,1302,225,1035,810,4.4,4.23,-0.17,14.31,9.59,-4.72,0.33,0.23,-0.1,108.17,61.16,-47.01,1.22,1.24,0.02,1172,1880,708
month=2025-11,5897.38,7836.32,1938.94,333143,736755,403612,283350,620085,336735,15489,31986,16497,48,108,60,107,107,0,91,207,116,107,107,0,483,1669,1186,272,1125,853,558,1744,1186,159,1000,841,4.65,4.34,-0.31,17.7,10.64,-7.06,0.38,0.24,-0.14,122.86,72.56,-50.3,1.18,1.19,0.01,1302,1954,652
month=2025-12,6819.99,7999.07,1179.08,467752,699120,231368,390123,583987,193864,21790,32673,10883,68,114,46,116,116,0,137,229,92,116,116,0,905,1807,902,559,1191,632,1000,1902,902,395,1027,632,4.66,4.67,0.01,14.58,11.44,-3.14,0.31,0.24,-0.07,100.29,70.17,-30.12,1.2,1.2,0,1549,1998,449
