key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
campaign=120204385505670650,734.4,883.97,149.57,159698,182247,22549,132892,151451,18559,6602,7611,1009,18,21,3,0,0,0,35,42,7,0,0,0,481,556,75,380,434,54,481,556,75,380,434,54,4.13,4.18,0.05,4.6,4.85,0.25,0.11,0.12,0.01,40.8,42.09,1.29,1.2,1.2,0,280,350,70
campaign=120204385704650650,642.93,581.09,-61.84,54099,49696,-4403,46262,42570,-3692,3017,2712,-305,17,14,-3,0,0,0,33,26,-7,0,0,0,143,131,-12,58,55,-3,143,131,-12,58,55,-3,5.58,5.46,-0.12,11.88,11.69,-0.19,0.21,0.21,0,37.82,41.51,3.69,1.17,1.17,0,369,332,-37
campaign=120211070105150650,583.8,709.59,125.79,160093,189194,29101,126435,147854,21419,5795,6832,1037,11,16,5,0,0,0,22,30,8,0,0,0,282,334,52,203,240,37,282,334,52,203,240,37,3.62,3.61,-0.01,3.65,3.75,0.1,0.1,0.1,0,53.07,44.35,-8.72,1.27,1.28,0.01,87,111,24
campaign=120211096155910650,909.8,1148.51,238.71,324204,461284,137080,278610,400335,121725,7363,9248,1885,21,25,4,0,0,0,36,44,8,0,0,0,362,500,138,321,449,128,362,500,138,0,0,0,2.27,2,-0.27,2.81,2.49,-0.32,0.12,0.12,0,43.32,45.94,2.62,1.16,1.15,-0.01,252,306,54
campaign=120211138936570650,1029.55,1239.34,209.79,410203,688235,278032,353005,591205,238200,5553,7678,2125,26,37,11,0,0,0,36,47,11,0,0,0,197,239,42,134,166,32,197,239,42,0,0,0,1.35,1.12,-0.23,2.51,1.8,-0.71,0.19,0.16,-0.03,39.6,33.5,-6.1,1.16,1.16,0,316,403,87
campaign=120211675857220650,729.54,879.34,149.8,124051,139881,15830,101473,114091,12618,5025,5734,709,19,22,3,0,0,0,37,43,6,0,0,0,445,496,51,315,348,33,445,496,51,315,348,33,4.05,4.1,0.05,5.88,6.29,0.41,0.15,0.15,0,38.4,39.97,1.57,1.22,1.23,0.01,417,518,101
campaign=120212347891840650,837.87,769.53,-68.34,73891,67954,-5937,62796,57725,-5071,3613,3310,-303,7,5,-2,0,0,0,12,9,-3,0,0,0,145,132,-13,79,74,-5,145,132,-13,79,74,-5,4.89,4.87,-0.02,11.34,11.32,-0.02,0.23,0.23,0,119.7,153.91,34.21,1.18,1.18,0,204,186,-18
campaign=120224588989660650,536.98,536.98,0,42226,42226,0,34588,34588,0,1620,1620,0,2,2,0,0,0,0,4,4,0,0,0,0,74,74,0,41,41,0,74,74,0,41,41,0,3.84,3.84,0,12.72,12.72,0,0.33,0.33,0,268.49,268.49,0,1.22,1.22,0,113,113,0
campaign=120224831911870650,165.28,165.28,0,13820,13820,0,11704,11704,0,580,580,0,14,14,0,0,0,0,30,30,0,0,0,0,72,72,0,48,48,0,72,72,0,48,48,0,4.2,4.2,0,11.96,11.96,0,0.28,0.28,0,11.81,11.81,0,1.18,1.18,0,57,57,0
campaign=120226115949280650,2088.75,1513.2,-575.55,144593,107424,-37169,116344,86484,-29860,7141,5253,-1888,105,63,-42,0,0,0,125,78,-47,0,0,0,562,371,-191,300,190,-110,562,371,-191,300,190,-110,4.94,4.89,-0.05,14.45,14.09,-0.36,0.29,0.29,0,19.89,24.02,4.13,1.24,1.24,0,631,437,-194
campaign=120227242817280650,2181.05,2163.53,-17.52,146959,141310,-5649,108387,104658,-3729,6486,6275,-211,45,74,29,0,0,0,59,85,26,0,0,0,474,523,49,315,362,47,474,523,49,0,0,0,4.41,4.44,0.03,14.84,15.31,0.47,0.34,0.34,0,48.47,29.24,-19.23,1.36,1.35,-0.01,481,423,-58
campaign=120228013146220650,3419.36,2612.54,-806.82,300861,229075,-71786,257990,196920,-61070,15346,11490,-3856,139,94,-45,0,0,0,168,116,-52,0,0,0,1276,913,-363,765,532,-233,1276,913,-363,765,532,-233,5.1,5.02,-0.08,11.37,11.4,0.03,0.22,0.23,0.01,24.6,27.79,3.19,1.17,1.16,-0.01,1045,798,-247
campaign=120228016965700650,1266.79,1561.76,294.97,240355,304395,64040,200027,252699,52672,11986,14219,2233,24,32,8,0,0,0,44,59,15,0,0,0,1103,1395,292,761,1002,241,1103,1395,292,761,1002,241,4.99,4.67,-0.32,5.27,5.13,-0.14,0.11,0.11,0,52.78,48.81,-3.97,1.2,1.2,0,458,526,68
campaign=120233678164080650,1130.08,1438.89,308.81,43351,53567,10216,32161,39860,7699,1065,1315,250,1,1,0,23,40,17,2,2,0,23,40,17,9,12,3,4,5,1,23,40,17,0,0,0,2.46,2.45,-0.01,26.07,26.86,0.79,1.06,1.09,0.03,1130.08,1438.89,308.81,1.35,1.34,-0.01,141,192,51
campaign=120234691669940650,4479.26,5293.75,814.49,173145,199829,26684,145572,168371,22799,4019,4577,558,4,4,0,518,764,246,7,7,0,518,764,246,35,43,8,14,20,6,518,764,246,0,0,0,2.32,2.29,-0.03,25.87,26.49,0.62,1.11,1.16,0.05,1119.82,1323.44,203.62,1.19,1.19,0,341,440,99
campaign=120237449042250650,261.97,261.97,0,34153,34153,0,26218,26218,0,1798,1798,0,7,7,0,0,0,0,14,14,0,0,0,0,44,44,0,31,31,0,44,44,0,0,0,0,5.26,5.26,0,7.67,7.67,0,0.15,0.15,0,37.42,37.42,0,1.3,1.3,0,119,119,0
campaign=120238558090550650,467.42,467.42,0,25219,25219,0,21929,21929,0,469,469,0,0,0,0,10,10,0,0,0,0,10,10,0,3,3,0,2,2,0,10,10,0,0,0,0,1.86,1.86,0,18.53,18.53,0,1,1,0,,,,1.15,1.15,0,83,83,0
campaign=120240303627170650,26.62,26.62,0,1863,1863,0,1643,1643,0,67,67,0,11,11,0,0,0,0,11,11,0,0,0,0,10,10,0,10,10,0,10,10,0,0,0,0,3.6,3.6,0,14.29,14.29,0,0.4,0.4,0,2.42,2.42,0,1.13,1.13,0,5,5,0
campaign=120240341967800650,219.59,219.59,0,18877,18877,0,16715,16715,0,624,624,0,69,69,0,0,0,0,69,69,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,3.31,3.31,0,11.63,11.63,0,0.35,0.35,0,3.18,3.18,0,1.13,1.13,0,29,29,0
