key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
ad_set=120214632533580650,375.4,375.4,0,48228,48228,0,35030,35030,0,2866,2866,0,6,6,0,0,0,0,11,11,0,0,0,0,228,228,0,142,142,0,228,228,0,142,142,0,5.94,5.94,0,7.78,7.78,0,0.13,0.13,0,62.57,62.57,0,1.38,1.38,0,127,127,0
ad_set=120216462731080650,66.35,66.35,0,6133,6133,0,4566,4566,0,354,354,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,12,12,0,28,28,0,12,12,0,5.77,5.77,0,10.82,10.82,0,0.19,0.19,0,,,,1.34,1.34,0,79,79,0
ad_set=120217425070300650,442.38,442.38,0,228427,228427,0,187651,187651,0,4338,4338,0,3,3,0,0,0,0,6,6,0,0,0,0,374,374,0,324,324,0,374,374,0,0,0,0,1.9,1.9,0,1.94,1.94,0,0.1,0.1,0,147.46,147.46,0,1.22,1.22,0,70,70,0
ad_set=120226115965280650,763.55,763.55,0,43086,43086,0,34140,34140,0,2584,2584,0,46,46,0,0,0,0,52,52,0,0,0,0,316,316,0,187,187,0,316,316,0,187,187,0,6,6,0,17.72,17.72,0,0.3,0.3,0,16.6,16.6,0,1.26,1.26,0,255,255,0
ad_set=120228013147810650,762.99,762.99,0,58804,58804,0,47896,47896,0,2833,2833,0,45,45,0,0,0,0,55,55,0,0,0,0,289,289,0,202,202,0,289,289,0,202,202,0,4.82,4.82,0,12.98,12.98,0,0.27,0.27,0,16.96,16.96,0,1.23,1.23,0,210,210,0
ad_set=120231620961380650,405.39,405.39,0,15722,15722,0,13243,13243,0,1047,1047,0,21,21,0,0,0,0,22,22,0,0,0,0,163,163,0,142,142,0,163,163,0,0,0,0,6.66,6.66,0,25.78,25.78,0,0.39,0.39,0,19.3,19.3,0,1.19,1.19,0,89,89,0
ad_set=120235534869640650,964.64,964.64,0,66765,66765,0,53258,53258,0,2280,2280,0,29,29,0,0,0,0,30,30,0,0,0,0,186,186,0,153,153,0,186,186,0,0,0,0,3.41,3.41,0,14.45,14.45,0,0.42,0.42,0,33.26,33.26,0,1.25,1.25,0,88,88,0
ad_set=120238611244850650,1130.95,1130.95,0,77570,77570,0,63686,63686,0,2496,2496,0,34,34,0,0,0,0,37,37,0,0,0,0,242,242,0,183,183,0,242,242,0,0,0,0,3.22,3.22,0,14.58,14.58,0,0.45,0.45,0,33.26,33.26,0,1.22,1.22,0,159,159,0
ad_set=120240341967810650,159.49,159.49,0,12189,12189,0,10872,10872,0,282,282,0,29,29,0,0,0,0,29,29,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2.31,2.31,0,13.08,13.08,0,0.57,0.57,0,5.5,5.5,0,1.12,1.12,0,9,9,0
ad_set=120242475427940650,1026.45,1026.45,0,35480,35480,0,30360,30360,0,864,864,0,2,2,0,2,2,0,2,2,0,2,2,0,6,6,0,6,6,0,2,2,0,0,0,0,2.44,2.44,0,28.93,28.93,0,1.19,1.19,0,513.23,513.23,0,1.17,1.17,0,95,95,0
ad_set=120242517363420650,2002.01,2002.01,0,76276,76276,0,61250,61250,0,1842,1842,0,12,12,0,16,16,0,12,12,0,16,16,0,15,15,0,7,7,0,16,16,0,0,0,0,2.41,2.41,0,26.25,26.25,0,1.09,1.09,0,166.83,166.83,0,1.25,1.25,0,151,151,0
ad_set=120243641988790650,236.98,236.98,0,9036,9036,0,7649,7649,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,1.8,1.8,0,26.23,26.23,0,1.45,1.45,0,,,,1.18,1.18,0,29,29,0
ad_set=120243642326600650,235.64,235.64,0,8602,8602,0,6924,6924,0,271,271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3.15,3.15,0,27.39,27.39,0,0.87,0.87,0,,,,1.24,1.24,0,30,30,0
